cell_id,accession_id,cell_name,tissue_id,created_at,updated_at,cell_line_uid
1,CVCL_M605,105KC,8,70-01-02 0:00,70-01-02 0:00,105KC_1_2019
2,CVCL_0110,1321N1,9,70-01-02 0:00,70-01-02 0:00,1321N1_2_2019
3,CVCL_2270,143B,5,70-01-02 0:00,70-01-02 0:00,143B_3_2019
4,CVCL_3040,184A1,7,70-01-02 0:00,70-01-02 0:00,184A1_4_2019
5,CVCL_4688,184B5,7,70-01-02 0:00,70-01-02 0:00,184B5_5_2019
6,CVCL_U759,2004,41,70-01-02 0:00,70-01-02 0:00,2004_6_2019
7,CVCL_X481,201T,18,70-01-02 0:00,70-01-02 0:00,201T_7_2019
8,CVCL_7931,21MT1,7,70-01-02 0:00,70-01-02 0:00,21MT1_8_2019
9,CVCL_7932,21MT2,7,70-01-02 0:00,70-01-02 0:00,21MT2_9_2019
10,CVCL_7933,21NT,7,70-01-02 0:00,70-01-02 0:00,21NT_10_2019
11,CVCL_7934,21PT,7,70-01-02 0:00,70-01-02 0:00,21PT_11_2019
12,CVCL_1045,22RV1,28,70-01-02 0:00,70-01-02 0:00,22RV1_12_2019
13,CVCL_1046,23132-87,34,70-01-02 0:00,70-01-02 0:00,2313287_13_2019
14,CVCL_7935,253J,38,70-01-02 0:00,70-01-02 0:00,253J_14_2019
15,CVCL_7937,253J-BV,38,70-01-02 0:00,70-01-02 0:00,253JBV_15_2019
16,CVCL_1798,42-MG-BA,9,70-01-02 0:00,70-01-02 0:00,42MGBA_16_2019
17,CVCL_6357,451Lu,31,70-01-02 0:00,70-01-02 0:00,451Lu_17_2019
18,CVCL_0V14,501A,31,70-01-02 0:00,70-01-02 0:00,501A_18_2019
19,CVCL_8052,537 MEL,31,70-01-02 0:00,70-01-02 0:00,537MEL_19_2019
20,CVCL_0126,5637,38,70-01-02 0:00,70-01-02 0:00,5637_20_2019
21,CVCL_2291,59M,24,70-01-02 0:00,70-01-02 0:00,59M_21_2019
